source,bufSize,index,duration_us,bytes,throughput_MB_s
server_1,512,0,1138756,536777088,449.535
server_1,512,1,1156680,536691456,442.498
server_1,512,2,15851,536857856,32300.0
server_1,512,3,9467,536728640,54068.3
server_1,512,4,53752,536696064,9522.12
server_1,512,5,10705,536804992,47822.2
server_1,512,6,9709,536704192,52718.2
server_1,512,7,12273,536676544,41702.5
server_1,512,8,54405,536737280,9408.56
server_1,512,9,55319,536724736,9252.89
server_1,512,10,3008,536619712,170133.0
server_1,512,11,45206,536691456,11322.1
server_1,512,12,45732,536844544,11195.1
server_1,512,13,48055,536827008,10653.6
server_1,512,14,3181,536768832,160925.0
server_1,512,15,45536,536777920,11241.9
server_1,512,16,44348,536642560,11540.1
server_1,512,17,56256,536614720,9096.91
server_1,512,18,49165,536852736,10413.6
server_1,512,19,3068,536780608,166856.0
server_1,512,20,45116,536653504,11343.9
server_1,512,21,49499,536689920,10340.2
server_1,512,22,57558,536657344,8891.84
server_1,512,23,3021,536582720,169389.0
server_1,512,24,58997,536655936,8674.93
server_1,512,25,51933,536780160,9857.19
server_1,512,26,53970,536698496,9483.71
server_1,512,27,48273,536618624,10601.4
server_1,512,28,49096,536810688,10427.4
server_1,512,29,50061,536816576,10226.5
server_1,512,30,52279,536656064,9789.69
server_1,512,31,3119,536784768,164129.0
server_1,512,32,43931,536651968,11649.9
server_1,512,33,45206,536812288,11324.7
server_1,512,34,5708,536696704,89669.6
server_1,512,35,47426,536584192,10790.0
server_1,512,36,43551,536854272,11756.0
server_1,512,37,56565,347482944,5858.49
server_1,1024,0,1181167,1073468224,866.718
server_1,1024,1,28262,1073586304,36227.1
server_1,1024,2,1197640,1073500864,854.823
server_1,1024,3,96559,1073380544,10601.3
server_1,1024,4,5690,1073461696,179918.0
server_1,1024,5,27937,1073310848,36639.2
server_1,1024,6,94500,1073671232,10835.3
server_1,1024,7,99108,1073546560,10330.3
server_1,1024,8,98152,1073257088,10428.1
server_1,1024,9,96712,1073633216,10587.1
server_1,1024,10,101542,1073343232,10080.8
server_1,1024,11,126984,1073240000,8060.24
server_1,1024,12,108238,1073435840,9457.94
server_1,1024,13,92872,1073316992,11021.6
server_1,1024,14,94901,1073627136,10789.0
server_1,1024,15,126392,1073440640,8099.51
server_1,1024,16,98679,1073464064,10374.4
server_1,1024,17,101958,1073280832,10039.0
server_1,1024,18,96472,884337088,8742.12
server_1,2048,0,1236982,2147054528,1655.31
server_1,2048,1,65254,2146881152,31376.2
server_1,2048,2,181066,2146772480,11307.0
server_1,2048,3,12373,2147217600,165501.0
server_1,2048,4,223491,2146890176,9161.15
server_1,2048,5,198380,2146583104,10319.3
server_1,2048,6,205095,2146752640,9982.22
server_1,2048,7,192543,2147067712,10634.5
server_1,2048,8,203346,2146744832,10068.0
server_1,2048,9,196998,884337088,4281.11
server_1,4096,0,1647098,4293935552,2486.2
server_1,4096,1,568512,4293990016,7203.13
server_1,4096,2,483196,4293473088,8473.94
server_1,4096,3,73135,4293820096,55991.1
server_1,4096,4,411102,3031081664,7031.5
server_2,512,0,1136390,536777088,450.471
server_2,512,1,1158586,536691456,441.77
server_2,512,2,6915,536857856,74040.1
server_2,512,3,9510,536728640,53823.8
server_2,512,4,63018,536696064,8122.02
server_2,512,5,10731,536804992,47706.4
server_2,512,6,9715,536704192,52685.6
server_2,512,7,12245,536676544,41797.8
server_2,512,8,54403,536737280,9408.9
server_2,512,9,2985,536724736,171478.0
server_2,512,10,52470,536619712,9753.39
server_2,512,11,48114,536691456,10637.8
server_2,512,12,45706,536844544,11201.5
server_2,512,13,2862,536827008,178881.0
server_2,512,14,45338,536768832,11290.8
server_2,512,15,45923,536777920,11147.2
server_2,512,16,47029,536642560,10882.3
server_2,512,17,56250,536614720,9097.88
server_2,512,18,49246,536852736,10396.4
server_2,512,19,48055,536780608,10652.7
server_2,512,20,3133,536653504,163355.0
server_2,512,21,46658,536689920,10969.8
server_2,512,22,57359,536657344,8922.69
server_2,512,23,61869,536582720,8271.11
server_2,512,24,3017,536655936,169637.0
server_2,512,25,49041,536780160,10438.5
server_2,512,26,53966,536698496,9484.41
server_2,512,27,48149,536618624,10628.7
server_2,512,28,49161,536810688,10413.6
server_2,512,29,50063,536816576,10226.1
server_2,512,30,3213,536656064,159289.0
server_2,512,31,49207,536784768,10403.4
server_2,512,32,46939,536651968,10903.3
server_2,512,33,45199,536812288,11326.4
server_2,512,34,53075,536696704,9643.6
server_2,512,35,3089,536584192,165661.0
server_2,512,36,40582,536854272,12616.0
server_2,512,37,56561,347482944,5858.91
server_2,1024,0,1211601,1073468224,844.947
server_2,1024,1,24463,1073586304,41853.1
server_2,1024,2,87153,1073500864,11746.8
server_2,1024,3,14935,1073380544,68540.7
server_2,1024,4,18629,1073461696,54953.7
server_2,1024,5,94534,1073310848,10827.7
server_2,1024,6,99102,1073671232,10332.1
server_2,1024,7,98139,1073546560,10432.3
server_2,1024,8,96816,1073257088,10572.0
server_2,1024,9,101468,1073633216,10090.8
server_2,1024,10,126986,1073343232,8060.89
server_2,1024,11,108176,1073240000,9461.63
server_2,1024,12,93005,1073435840,11007.0
server_2,1024,13,94890,1073316992,10787.2
server_2,1024,14,126419,1073627136,8099.18
server_2,1024,15,98730,1073440640,10368.8
server_2,1024,16,101910,1073464064,10045.5
server_2,1024,17,96542,1073280832,10602.2
server_2,1024,18,111954,884337088,7533.18
server_2,2048,0,1228893,2147054528,1666.21
server_2,2048,1,38722,2146881152,52875.0
server_2,2048,2,36518,2146772480,56063.4
server_2,2048,3,181584,2147217600,11277.1
server_2,2048,4,39517,2146890176,51811.5
server_2,2048,5,195827,2146583104,10453.8
server_2,2048,6,198363,2146752640,10321.0
server_2,2048,7,205080,2147067712,9984.41
server_2,2048,8,192537,2146744832,10633.3
server_2,2048,9,203282,884337088,4148.77
server_2,4096,0,1673120,4293935552,2447.53
server_2,4096,1,1001876,4293990016,4087.4
server_2,4096,2,91515,4293473088,44742.1
server_2,4096,3,36753,4293820096,111417.0
server_2,4096,4,391498,3031081664,7383.6
server_3,512,0,1162427,536777088,440.381
server_3,512,1,11696,536691456,43761.0
server_3,512,2,9305,536857856,55022.8
server_3,512,3,53882,536728640,9499.73
server_3,512,4,10639,536696064,48109.2
server_3,512,5,9688,536804992,52842.4
server_3,512,6,12291,536704192,41643.6
server_3,512,7,54360,536676544,9415.28
server_3,512,8,55329,536737280,9251.43
server_3,512,9,48134,536724736,10634.1
server_3,512,10,2881,536619712,177633.0
server_3,512,11,42965,536691456,11912.7
server_3,512,12,48041,536844544,10657.0
server_3,512,13,45916,536827008,11149.9
server_3,512,14,47002,536768832,10891.1
server_3,512,15,56312,536777920,9090.63
server_3,512,16,2901,536642560,176416.0
server_3,512,17,46340,536614720,11043.5
server_3,512,18,48089,536852736,10646.6
server_3,512,19,49486,536780608,10344.6
server_3,512,20,5527,536653504,92598.6
server_3,512,21,52083,536689920,9827.15
server_3,512,22,61903,536657344,8267.71
server_3,512,23,51887,536582720,9862.3
server_3,512,24,3001,536655936,170541.0
server_3,512,25,51088,536780160,10020.2
server_3,512,26,48209,536698496,10617.0
server_3,512,27,49131,536618624,10416.2
server_3,512,28,50157,536810688,10206.8
server_3,512,29,52230,536816576,9801.8
server_3,512,30,46907,536656064,10910.8
server_3,512,31,3028,536784768,169061.0
server_3,512,32,42285,536651968,12103.4
server_3,512,33,53077,536812288,9645.31
server_3,512,34,43504,536696704,11765.2
server_3,512,35,2974,536584192,172067.0
server_3,512,36,53767,536854272,9522.27
server_3,512,37,47009,347482944,7049.41
server_3,1024,0,1206270,1073468224,848.682
server_3,1024,1,19790,1073586304,51735.8
server_3,1024,2,9641,1073500864,106189.0
server_3,1024,3,87162,1073380544,11744.3
server_3,1024,4,33494,1073461696,30564.7
server_3,1024,5,94509,1073310848,10830.6
server_3,1024,6,99066,1073671232,10335.9
server_3,1024,7,98168,1073546560,10429.2
server_3,1024,8,96765,1073257088,10577.6
server_3,1024,9,101531,1073633216,10084.6
server_3,1024,10,126982,1073343232,8061.14
server_3,1024,11,108194,1073240000,9460.06
server_3,1024,12,92930,1073435840,11015.9
server_3,1024,13,94876,1073316992,10788.8
server_3,1024,14,6122,1073627136,167248.0
server_3,1024,15,120476,1073440640,8497.23
server_3,1024,16,98721,1073464064,10370.0
server_3,1024,17,101970,1073280832,10037.9
server_3,1024,18,96480,884337088,8741.39
server_3,2048,0,1125692,2147054528,1818.96
server_3,2048,1,29414,2146881152,69607.2
server_3,2048,2,1228828,2146772480,1666.08
server_3,2048,3,46050,2147217600,44467.9
server_3,2048,4,180822,2146890176,11322.9
server_3,2048,5,39957,2146583104,51233.6
server_3,2048,6,195816,2146752640,10455.2
server_3,2048,7,198387,2147067712,10321.3
server_3,2048,8,205064,2146744832,9983.69
server_3,2048,9,192529,884337088,4380.48
server_3,4096,0,1649336,4293935552,2482.83
server_3,4096,1,566660,4293990016,7226.68
server_3,4096,2,464734,4293473088,8810.58
server_3,4096,3,91565,4293820096,44721.3
server_3,4096,4,411061,3031081664,7032.2
server_4,512,0,1155961,536777088,442.844
server_4,512,1,15642,536691456,32721.4
server_4,512,2,63020,536857856,8124.21
server_4,512,3,2698,536728640,189720.0
server_4,512,4,17694,536696064,28926.9
server_4,512,5,2665,536804992,192096.0
server_4,512,6,9691,536704192,52816.1
server_4,512,7,54407,536676544,9407.15
server_4,512,8,55344,536737280,9248.93
server_4,512,9,48211,536724736,10617.1
server_4,512,10,45572,536619712,11229.7
server_4,512,11,48121,536691456,10636.3
server_4,512,12,45786,536844544,11181.9
server_4,512,13,46992,536827008,10894.6
server_4,512,14,3038,536768832,168500.0
server_4,512,15,53301,536777920,9604.16
server_4,512,16,49186,536642560,10405.0
server_4,512,17,48073,536614720,10645.4
server_4,512,18,49392,536852736,10365.7
server_4,512,19,5543,536780608,92353.2
server_4,512,20,52123,536653504,9818.94
server_4,512,21,61798,536689920,8282.26
server_4,512,22,51925,536657344,9856.45
server_4,512,23,54027,536582720,9471.66
server_4,512,24,48088,536655936,10642.9
server_4,512,25,3042,536780160,168282.0
server_4,512,26,48807,536698496,10486.9
server_4,512,27,47322,536618624,10814.4
server_4,512,28,52420,536810688,9766.17
server_4,512,29,46788,536816576,10941.9
server_4,512,30,45162,536656064,11332.4
server_4,512,31,3147,536784768,162669.0
server_4,512,32,50007,536651968,10234.4
server_4,512,33,43521,536812288,11763.2
server_4,512,34,56552,536696704,9050.68
server_4,512,35,3082,536584192,166037.0
server_4,512,36,44154,536854272,11595.4
server_4,512,37,1744,347482944,190015.0
server_4,1024,0,1205619,1073468224,849.14
server_4,1024,1,1197053,1073586304,855.31
server_4,1024,2,96789,1073500864,10577.3
